latitude,longitude
-6.1788127,35.7525558
-6.1875431,35.7473567
-6.1840606,35.7478954
-6.1837000,35.7455414
-6.1871769,35.7451243
-6.1884502,35.7528406
-6.1907373,35.7453667
-6.1909807,35.7523909
-6.1901918,35.7472627
-6.1902485,35.7470630
-6.1899011,35.7467523
-6.1895610,35.7456618
-6.1898617,35.7447248
-6.1883839,35.7437904
-6.1896921,35.7526309
-6.1928041,35.7479710
-6.1926802,35.7508782
-6.1898237,35.7399940
-6.1868627,35.7724429
-6.1864241,35.7595037
-6.1872439,35.7438797
-6.1901453,35.7439143
-6.1904987,35.7441557
-6.1812434,35.7557490
-6.1767052,35.7481314
-6.1825277,35.7600431
-6.1839002,35.7593250
-6.1772543,35.7469931
-6.1808342,35.7590941
-6.1801122,35.7573388
-6.1766547,35.7478406
-6.1774402,35.7480099
-6.1747365,35.7496228
-6.1773805,35.7477102
-6.1765370,35.7471313
-6.1810188,35.7575163
-6.1819415,35.7593402
-6.1748014,35.7500554
-6.1804367,35.7554254
-6.1767790,35.7485526
-6.1763123,35.7503121
-6.1740392,35.7501885
-6.1819976,35.7556764
-6.1775070,35.7484312
-6.1798129,35.7550304
-6.1787482,35.7594290
-6.1795588,35.7498109
-6.1794288,35.7486471
-6.1806858,35.7590214
-6.1770713,35.7501848
-6.1743543,35.7475416
-6.1800600,35.7590335
-6.1817690,35.7596711
-6.1797641,35.7485456
-6.1745330,35.7484864
-6.1805505,35.7482931
-6.1830282,35.7599376
-6.1774823,35.7589531
-6.1777844,35.7500755
-6.1788261,35.7477431
-6.1799557,35.7582144
-6.1817609,35.7556885
-6.1808944,35.7574034
-6.1799557,35.7583920
-6.1746115,35.7489328
-6.1791675,35.7498680
-6.1840283,35.7588717
-6.1801603,35.7572621
-6.1818933,35.7594976
-6.1801957,35.7408940
-6.1791650,35.7411110
-6.1796309,35.7401111
-6.1794126,35.7412837
-6.1800838,35.7403298
-6.1790195,35.7406976
-6.1757003,35.7460908
-6.1782063,35.7428193
-6.1797884,35.7401350
-6.1797194,35.7413129
-6.1790423,35.7405502
-6.1795641,35.7413184
-6.1793247,35.7401894
-6.1758242,35.7455608
-6.1802220,35.7406968
-6.1770680,35.7458973
-6.1794726,35.7401297
-6.1800004,35.7411855
-6.1790333,35.7408462
-6.1815310,35.7444753
-6.1783937,35.7426086
-6.1790943,35.7432142
-6.1812578,35.7462833
-6.1817431,35.7448982
-6.1792370,35.7428843
-6.1813767,35.7459016
-6.1815955,35.7453298
-6.1782677,35.7460156
-6.1814759,35.7455985
-6.1791816,35.7445938
-6.1789285,35.7456516
-6.1779588,35.7434017
-6.1771868,35.7458094
-6.1795349,35.7462604
-6.1773501,35.7453034
-6.1804464,35.7459757
-6.1794087,35.7441227
-6.1812965,35.7442972
-6.1775491,35.7447044
-6.1777554,35.7439943
-6.1806361,35.7437913
-6.1788123,35.7461236
-6.1803832,35.7463847
-6.1771767,35.7460515
-6.1775234,35.7460890
-6.1768474,35.7450309
-6.1765014,35.7418450
-6.1778463,35.7437243
-6.1760062,35.7415520
-6.1751600,35.7459118
-6.1755786,35.7412708
